# 更新时间,#genre#
2026-06-06 20:00:00,https://iptv.jhzone995.workers.dev/abc123

咪咕央卫,#genre#
CCTV1,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/1.m3u
CCTV2,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/2.m3u
CCTV3,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/3.m3u
CCTV4,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/4.m3u
CCTV5,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/5.m3u
CCTV5+,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/6.m3u
CCTV6,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/7.m3u
CCTV7,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/8.m3u
CCTV8,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/9.m3u
CCTV9,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/10.m3u
CCTV10,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/11.m3u
CCTV11,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/12.m3u
CCTV12,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/13.m3u
CCTV13,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/14.m3u
CCTV14,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/15.m3u
CCTV15,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/16.m3u
CCTV17,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/17.m3u
CCTV4欧洲,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/18.m3u
CCTV4美洲,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/19.m3u
赛事最经典,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/20.m3u
体坛名栏汇,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/21.m3u
四海钓鱼,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/22.m3u
大湾区卫视,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/23.m3u
陕西体育,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/24.m3u
辽宁体育,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/25.m3u
东方卫视,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/26.m3u
江苏卫视,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/27.m3u
广东卫视,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/28.m3u
北京卫视,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/29.m3u
辽宁卫视,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/30.m3u
河北卫视,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/31.m3u
江西卫视,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/32.m3u
陕西卫视,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/33.m3u
湖北卫视,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/34.m3u
农林卫视,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/35.m3u
兵团卫视,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/36.m3u
上海新闻综合,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/37.m3u
上视东方影视,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/38.m3u
公共新闻频道,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/39.m3u
盐城新闻综合,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/40.m3u
江阴新闻综合,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/41.m3u
南通新闻综合,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/42.m3u
宜兴新闻综合,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/43.m3u
溧水新闻综合,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/44.m3u
陕西银龄频道,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/45.m3u
陕西都市青春频道,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/46.m3u
陕西秦腔频道,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/47.m3u
陕西新闻资讯频道,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/48.m3u
财富天下,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/49.m3u
辽宁公共频道,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/50.m3u
辽宁生活频道,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/51.m3u
辽宁影视剧频道,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/52.m3u
宁夏文旅频道,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/53.m3u
宁夏经济频道,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/54.m3u
经典香港电影,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/55.m3u
抗战经典影片,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/56.m3u
新片放映厅,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/57.m3u
CHC影迷电影,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/58.m3u
CHC动作电影,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/59.m3u
CHC家庭影院,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/60.m3u
和美乡途轮播台,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/61.m3u
最强综艺趴,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/62.m3u
体育0605,#genre#
浪琴环球马术冠军赛 戛纳站GCL团体赛 纽约帝国队夺冠 上海天鹅队获亚军 2026LGCT浪琴环球马术冠军赛戛纳站Day1全场回放（中文解说） 00:35,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/63.m3u
浪琴环球马术冠军赛 戛纳站GCL团体赛 纽约帝国队夺冠 上海天鹅队获亚军 2026LGCT浪琴环球马术冠军赛戛纳站Day1全场回放（英文解说） 00:35,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/64.m3u
浪琴环球马术冠军赛 戛纳站GCL团体赛 纽约帝国队夺冠 上海天鹅队获亚军 2026LGCT浪琴环球马术冠军赛戛纳站Day1全场回放（赛场原声） 00:35,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/65.m3u
UFC BJJ 伯恩斯丝滑降服蒙泰罗 福勒微笑裸绞约翰逊卫冕 UFC巴西柔术大赛第九期全场回放（王琰博、郝俊） 08:00,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/66.m3u
UFC BJJ 伯恩斯丝滑降服蒙泰罗 福勒微笑裸绞约翰逊卫冕 UFC巴西柔术大赛第九期全场回放（赛场原声） 08:00,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/67.m3u
中国乒协会员联赛 单打第一、二阶段 全场回放（一） 08:30,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/68.m3u
中国乒协会员联赛 单打第一、二阶段 全场回放（二） 08:30,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/69.m3u
中国乒协会员联赛 单打第一、二阶段 全场回放（三） 08:30,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/70.m3u
NBA 《NBA周刊》2026总决赛G2特辑 全场回放 09:55,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/71.m3u
WTA 精彩回顾：科斯秋克 vs 波塔波娃 全场回放（胡力涛） 12:00,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/72.m3u
WTA 精彩回顾：米拉·安德列娃 vs 科斯秋克 全场回放（房朕） 14:00,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/73.m3u
BWF 陈雨菲、星驰组合晋级四强 【回放】安洗莹2-0李美妙（余博洋） 10:00,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/74.m3u
BWF 陈雨菲、星驰组合晋级四强 【回放】陈雨菲2-0瓦尔达尼（鸿昆） 10:00,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/75.m3u
BWF 陈雨菲、星驰组合晋级四强 【回放】陈雨菲2-0瓦尔达尼（朱胤丞） 10:00,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/76.m3u
BWF 陈雨菲、星驰组合晋级四强 【回放】赖浩俊2-0大波波夫 10:00,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/77.m3u
BWF 陈雨菲、星驰组合晋级四强 【回放】郭新娃/陈芳卉2-1叶宏蔚/詹又蓁（朱胤丞） 10:00,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/78.m3u
BWF 陈雨菲、星驰组合晋级四强 【回放】郭新娃/陈芳卉2-1叶宏蔚/詹又蓁（鸿昆） 10:00,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/79.m3u
BWF 陈雨菲、星驰组合晋级四强 【回放】周天成2-0李卓耀（赛场原声） 10:00,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/80.m3u
BWF 陈雨菲、星驰组合晋级四强 【回放】邱品蒨0-2山口茜（赛场原声） 10:00,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/81.m3u
BWF 陈雨菲、星驰组合晋级四强 【回放】冯彦哲/黄东萍1-2程星/张驰（杨妮娜） 10:00,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/82.m3u
BWF 陈雨菲、星驰组合晋级四强 【回放】咖塔曼/伊斯法哈尼2-0陈柏阳/刘毅（鸿昆） 10:00,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/83.m3u
BWF 陈雨菲、星驰组合晋级四强 【回放】冯彦哲/黄东萍1-2程星/张驰（余博洋） 10:00,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/84.m3u
BWF 陈雨菲、星驰组合晋级四强 【回放】拉尼尔1-2帕尼查蓬（赛场原声） 10:00,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/85.m3u
BWF 陈雨菲、星驰组合晋级四强 【回放】刘圣书/谭宁2-0岩永铃/中西贵映（余博洋） 10:00,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/86.m3u
BWF 陈雨菲、星驰组合晋级四强 【回放】刘圣书/谭宁2-0岩永铃/中西贵映（杨妮娜） 10:00,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/87.m3u
BWF 陈雨菲、星驰组合晋级四强 【回放】田中涌士0-2乔纳坦（赛场原声） 10:00,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/88.m3u
BWF 陈雨菲、星驰组合晋级四强 【全场回放】二号场地（赛场原声）（一） 10:00,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/89.m3u
BWF 陈雨菲、星驰组合晋级四强 【全场回放】二号场地（英文解说）（一） 10:00,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/90.m3u
BWF 陈雨菲、星驰组合晋级四强 【全场回放】一号场地（赛场原声）（一） 10:00,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/91.m3u
BWF 陈雨菲、星驰组合晋级四强 【全场回放】一号场地（英文解说）（一） 10:00,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/92.m3u
BWF 陈雨菲、星驰组合晋级四强 【全场回放】二号场地（英文解说）（二） 10:00,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/93.m3u
BWF 陈雨菲、星驰组合晋级四强 【全场回放】二号场地（赛场原声）（二） 10:00,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/94.m3u
BWF 陈雨菲、星驰组合晋级四强 【全场回放】二号场地（赛场原声）（三） 10:00,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/95.m3u
BWF 陈雨菲、星驰组合晋级四强 【全场回放】一号场地（赛场原声）（三） 10:00,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/96.m3u
BWF 陈雨菲、星驰组合晋级四强 【全场回放】一号场地（赛场原声）（二） 10:00,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/97.m3u
BWF 陈雨菲、星驰组合晋级四强 【全场回放】一号场地（英文解说）（三） 10:00,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/98.m3u
BWF 陈雨菲、星驰组合晋级四强 【全场回放】一号场地（英文解说）（二） 10:00,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/99.m3u
JCK JCK战觉城王者系列014：赛前称重仪式 JCK战觉城王者系列014赛前称重仪式全场回放（赛场原声） 16:00,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/100.m3u
WTT 林仲勋/吴晙诚3-1胜 倪夏莲混双止步 全场回放（凌维康） 17:00,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/101.m3u
WTT 林仲勋/吴晙诚3-1胜 倪夏莲混双止步 全场回放（一号桌） 17:00,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/102.m3u
WTT 林仲勋/吴晙诚3-1胜 倪夏莲混双止步 全场回放（二号桌） 17:00,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/103.m3u
WTT 林仲勋/吴晙诚3-1胜 倪夏莲混双止步 全场回放（三号桌） 17:00,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/104.m3u
WTT 林仲勋/吴晙诚3-1胜 倪夏莲混双止步 全场回放（四号桌） 17:00,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/105.m3u
NBA经典赛事 NBA精彩重播：2003总决赛 篮网vs马刺 G1 02/03赛季NBA总决赛精彩重播全场回放：篮网vs马刺 G1（王晓晨） 18:00,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/106.m3u
吴越杯 金华队VS台州队 全场回放 19:15,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/107.m3u
中乙 兰州陇原竞技VS大连可为 全场回放 19:20,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/108.m3u
土伦杯 哥伦比亚U19VS中国U19 全场回放（张昊泽、王宇） 20:45,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/109.m3u
土伦杯 哥伦比亚U19VS中国U19 全场回放 20:45,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/110.m3u
土伦杯 哥伦比亚U19VS中国U19 全场回放（张昊泽、王宇） 20:45,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/111.m3u
WTT 大藤沙月3-1柳是宇 达科横扫晋级 全场回放（一号桌） 23:30,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/112.m3u
WTT 大藤沙月3-1柳是宇 达科横扫晋级 全场回放（二号桌） 23:30,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/113.m3u
世界跆拳道大奖赛 世界跆拳道大奖赛罗马站第一日 2026世界跆拳道大奖赛罗马站Day1全场回放（官方解说） 23:25,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/114.m3u
体育0606,#genre#
土伦杯 沙特阿拉伯U21VS突尼斯U23 全场回放 00:15,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/115.m3u
土伦杯 沙特阿拉伯U21VS突尼斯U23 全场回放（乔迁） 00:15,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/116.m3u
NBA 马刺VS尼克斯 杨健 周琦 陈正昊 08:00,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/117.m3u
NBA 马刺VS尼克斯 连睿 刘炜 李根 08:00,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/118.m3u
NBA 马刺VS尼克斯 王晓晨 08:25,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/119.m3u
NBA 马刺VS尼克斯 莫俊祺 08:25,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/120.m3u
NBA 马刺VS尼克斯 洪荒 08:25,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/121.m3u
NBA 马刺VS尼克斯 英文原声 08:25,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/122.m3u
NBA 马刺VS尼克斯 VIP前排视角 08:25,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/123.m3u
NBA 马刺VS尼克斯 球场十倍镜 08:25,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/124.m3u
NBA 马刺VS尼克斯 智能字幕 08:25,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/125.m3u
自然堂喜马拉雅越野跑 越野跑day1 解说 08:30,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/126.m3u
中国乒协会员联赛 单打半决赛决赛、团体赛第一、二阶段 赛场原声 09:00,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/127.m3u
全国体育舞蹈技术等级锦标赛 全国体育舞蹈锦标赛（东部赛区） 东部赛区 09:30,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/128.m3u
WTA 精彩回顾：高芙 vs 安德列娃 赛场原声 12:00,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/129.m3u
BWF 国羽内战打响！陈雨菲再战安洗莹 解说：余博洋 13:00,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/130.m3u
BWF 国羽内战打响！陈雨菲再战安洗莹 1号场地 13:00,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/131.m3u
BWF 国羽内战打响！陈雨菲再战安洗莹 1号场地英文解说视角 13:00,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/132.m3u
城超 武汉斑马VS武汉狼王 2026赛季武汉篮球城市超级联赛淘汰赛8进4: 武汉斑马vs武汉狼王 13:00,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/133.m3u
乒乓球嘉年华 茸城乒将VS长宁乐动虹桥 茸城乒将vs长宁乐动虹桥 14:00,https://raw.githubusercontent.com/jhzone/TVbox/main/ch/134.m3u
